,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1110,1111,1112,1113,1114,1115,1116,1117,1120,1121,1122,1123,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1150,1160,1161,1162,1163,1164,1165,1170,1171,1172,1173,1174,1176,1177,1180,1181,1184,1185,1190,1191,1192,1193,1210,1211,1212,1213,1214,1215,1216,1217,1218,1220,1221,1222,1223,1224,1225,1226,1227,1228,1229,1230,1231,1232,1233,1234,1235,1236,1237,1238,1240,1241,1242,1243,1244,1245,1246,1247,1248,1250,1251,1252,1253,1254,1255,1256,1257,1260,1261,1262,1263,1264,1265,1266,1267,1268,1269,1270,1272,1273,1274,1275,1276,1277,1278
1001,1,2,2,3,11,11,10,8,9,12,11,10,9,10,10,11,11,10,10,10,10,11,11,12,12,11,10,10,10,3,3,3,3,9,10,11,12,10,11,4,4,4,4,4,10,11,10,10,12,5,5,5,5,5,5,13,14,6,6,6,6,6,6,6,6,12,12,7,7,7,7,7,7,7,7,11,11,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,12,11,13,13,12,11,12,12,17,16,18,16,15,14,14,15,16,15,14,14,14,15,12,11,11,12,13,13,11,16,16,17,15,15,16,14,14,14,,15,15,13,13,14,13,13,13,15,14,14,15,26,27,26,25,25,25,26,24,24,22,21,21,22,23,23,20,20,21,19,20,21,20,19,19,20,21,22,23,18,17,17,19,19,18,18,17,19,16,15,15,15,16,14,14,16,13,13,12,13,13,14,14,13,13,12,13,13,12,12,12,13,11,14
1002,2,1,2,3,10,10,9,7,8,11,10,9,8,9,9,10,10,9,9,9,9,10,10,11,11,10,9,9,9,2,2,2,2,8,9,10,11,9,10,3,3,3,3,3,9,10,9,9,11,4,4,4,4,4,4,12,13,5,5,5,5,5,5,5,5,11,11,6,6,6,6,6,6,6,6,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,11,10,12,12,11,10,11,11,16,15,17,15,14,13,13,14,15,14,13,13,13,14,11,10,10,11,12,12,10,15,15,16,14,14,15,13,13,13,,14,14,12,12,13,12,12,12,14,13,13,14,25,26,25,24,24,24,25,23,23,21,20,20,21,22,22,19,19,20,18,19,20,19,18,18,19,20,21,22,17,16,16,18,18,17,17,16,18,15,14,14,14,15,13,13,15,12,12,11,12,12,13,13,12,12,11,12,12,11,11,11,12,10,13
1003,2,2,1,2,11,11,10,8,9,12,11,10,9,10,10,11,11,10,10,10,10,11,11,12,12,11,10,10,10,3,3,3,3,9,10,11,12,10,11,4,4,4,4,4,10,11,10,10,12,5,5,5,5,5,5,13,14,6,6,6,6,6,6,6,6,12,12,7,7,7,7,7,7,7,7,11,11,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,12,11,13,13,12,11,12,12,17,16,18,16,15,14,14,15,16,15,14,14,14,15,12,11,11,12,13,13,11,16,16,17,15,15,16,14,14,14,,15,15,13,13,14,13,13,13,15,14,14,15,26,27,26,25,25,25,26,24,24,22,21,21,22,23,23,20,20,21,19,20,21,20,19,19,20,21,22,23,18,17,17,19,19,18,18,17,19,16,15,15,15,16,14,14,16,13,13,12,13,13,14,14,13,13,12,13,13,12,12,12,13,11,14
1004,3,3,2,1,12,12,11,9,10,13,12,11,10,11,11,12,12,11,11,11,11,12,12,13,13,12,11,11,11,4,4,4,4,10,11,12,13,11,12,5,5,5,5,5,11,12,11,11,13,6,6,6,6,6,6,14,15,7,7,7,7,7,7,7,7,13,13,8,8,8,8,8,8,8,8,12,12,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,13,12,14,14,13,12,13,13,18,17,19,17,16,15,15,16,17,16,15,15,15,16,13,12,12,13,14,14,12,17,17,18,16,16,17,15,15,15,,16,16,14,14,15,14,14,14,16,15,15,16,27,28,27,26,26,26,27,25,25,23,22,22,23,24,24,21,21,22,20,21,22,21,20,20,21,22,23,24,19,18,18,20,20,19,19,18,20,17,16,16,16,17,15,15,17,14,14,13,14,14,15,15,14,14,13,14,14,13,13,13,14,12,15
1005,11,10,11,12,1,9,8,10,6,6,4,4,3,3,2,5,5,6,6,12,12,13,13,14,14,13,12,12,12,9,9,9,9,7,8,6,6,7,7,8,8,8,8,9,8,10,11,12,7,7,7,7,7,8,9,15,16,6,6,6,7,8,8,9,9,9,8,5,5,6,7,8,9,9,10,9,9,4,5,6,6,7,8,9,10,10,11,4,5,7,7,7,11,11,11,11,11,14,13,15,15,14,13,14,14,19,18,20,18,17,16,16,17,18,17,16,16,16,17,14,13,13,14,15,15,13,18,18,19,17,17,18,16,16,16,,17,17,15,15,16,15,15,15,17,16,16,17,28,29,28,27,27,27,28,26,26,24,23,23,24,25,25,22,22,23,21,22,23,22,21,21,22,23,24,25,20,19,19,21,21,20,20,19,21,18,17,17,17,18,16,16,18,15,15,14,15,15,16,16,15,15,14,15,15,14,14,14,15,13,16
1006,11,10,11,12,9,1,4,7,5,5,6,6,7,7,8,5,5,4,5,10,10,11,11,12,12,11,10,9,9,9,9,9,9,3,2,4,4,4,3,8,8,8,8,9,3,6,7,8,3,7,7,7,7,8,8,13,14,6,6,6,6,7,7,7,8,2,2,6,5,5,6,6,6,7,8,5,5,6,5,4,5,5,5,6,8,8,9,6,6,4,4,4,8,8,8,9,9,10,9,11,11,10,9,10,10,15,14,16,14,13,12,12,13,14,14,13,12,12,13,11,10,10,10,11,12,11,15,14,15,13,13,14,12,12,12,,13,13,11,11,12,11,11,11,15,14,14,14,26,27,26,25,25,25,26,24,24,22,21,21,22,23,23,20,20,21,19,20,21,20,19,19,20,21,22,23,18,17,17,19,19,18,18,17,19,16,15,15,15,16,14,14,16,13,13,12,13,13,14,14,13,13,12,13,13,12,12,12,13,11,14
1007,10,9,10,11,8,4,1,5,5,7,7,7,6,7,7,6,6,5,5,8,8,9,9,10,10,9,8,7,6,8,8,8,8,3,3,6,7,5,6,7,7,7,7,7,2,3,4,5,6,6,6,6,6,6,6,11,12,5,5,5,5,5,5,5,6,5,5,5,4,4,4,4,4,5,6,2,2,5,5,4,3,3,3,4,6,6,7,6,6,4,3,2,5,6,6,7,7,7,6,8,8,7,6,7,7,12,11,13,11,10,9,9,10,11,11,10,9,9,10,8,8,7,7,8,9,9,12,11,12,10,10,11,9,9,9,,10,10,8,8,9,8,8,8,12,11,11,11,24,25,24,23,23,23,24,22,22,20,19,19,20,21,21,18,18,19,17,18,19,18,17,17,18,19,20,21,16,15,15,17,17,16,16,15,17,14,13,13,13,14,12,12,14,10,10,9,10,11,11,11,10,10,9,11,11,10,10,10,11,9,12
1008,8,7,8,9,10,7,5,1,7,9,9,9,8,9,9,8,8,7,7,4,4,5,5,6,6,5,4,3,3,6,6,6,6,5,6,8,9,7,8,6,5,5,5,5,5,4,3,3,9,6,6,5,4,4,4,7,8,7,6,5,4,3,3,3,3,8,8,7,6,5,4,3,2,2,3,6,5,7,7,6,5,4,3,2,2,3,4,8,8,6,5,4,2,2,2,3,4,5,4,6,6,5,4,5,5,10,9,11,9,8,7,7,8,9,9,8,7,7,8,5,4,4,5,6,6,5,10,9,10,8,8,9,7,7,7,,8,8,6,6,7,6,6,6,9,8,8,9,20,21,20,19,19,19,20,18,18,16,15,15,16,17,17,14,14,15,13,14,15,14,13,13,14,15,16,17,12,11,11,13,13,12,12,11,13,10,9,9,9,10,8,8,10,7,7,6,7,7,8,8,7,7,6,7,7,6,6,6,7,5,8
1009,9,8,9,10,6,5,5,7,1,5,4,3,4,4,5,4,3,3,2,10,10,11,11,12,12,11,10,9,9,7,7,7,7,3,4,4,5,3,4,6,6,6,6,7,4,7,8,9,5,5,5,5,5,6,7,13,14,4,4,4,4,5,6,7,7,6,5,3,3,3,4,5,6,7,8,6,6,3,2,2,3,4,5,6,8,8,9,3,2,2,3,4,8,8,8,9,9,11,10,12,12,11,10,11,11,16,15,17,15,14,13,13,14,15,15,14,13,13,14,11,10,10,11,12,12,11,16,15,16,14,14,15,13,13,13,,14,14,12,12,13,12,12,12,15,14,14,15,26,27,26,25,25,25,26,24,24,22,21,21,22,23,23,20,20,21,19,20,21,20,19,19,20,21,22,23,18,17,17,19,19,18,18,17,19,16,15,15,15,16,14,14,16,13,13,12,13,13,14,14,13,13,12,13,13,12,12,12,13,11,14
