UIC,Parent_UIC,Stationsnavn,Forkortelse,Region nr,Region navn,Kommune nr,Kommune navn,FjernRegional,Stog,KystKastrup,Arriva,Metro,Privatbane,Letbane,Border,Øst,Vest,H-omr,Lukket,Planlagt station,LTM_ID,LTM_ID_1,LTM_ID_S,LTM_ID_M,LTM_ID_LB,LTM_ID_PB,OTM_ID,OTM_ID_1,OTM_ID_S,OTM_ID_LB,X-koordinat,Y-koordinat
8690999,,Høvelte,0,1084,Hovedstaden,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8690803,8600803,Køge,Kj,1085,Sjælland,259,Køge,1,1,0,0,0,1,0,0,1,0,1,0,0,8600803,0,1108600803,0,0,1208600803,0,0,0,0,0,0
8690798,,Høje Taastrup,Htå,1084,Hovedstaden,169,Høje-Taastrup,1,1,0,0,0,0,0,0,1,0,1,0,0,8600798,0,1108600798,0,0,0,0,0,0,0,0,0
8690792,,Ølby,Ølb,1085,Sjælland,259,Køge,0,1,0,0,0,0,0,0,1,0,1,0,0,8600792,0,1108600792,0,0,0,0,0,0,0,0,0
8690740,,KB Hallen,Kbn,1084,Hovedstaden,101,København,0,1,0,0,0,0,0,0,1,0,1,0,0,8600740,0,0,0,0,0,0,0,0,0,0,0
8690736,8600736,Flintholm,Fl,1084,Hovedstaden,147,Frederiksberg,0,1,0,0,1,0,0,0,1,0,1,0,0,8600736,0,1108600736,0,0,0,0,0,0,0,0,0
8690703,8600703,Vanløse,Van,1084,Hovedstaden,101,København,0,1,0,0,1,0,0,0,1,0,1,0,0,8600703,0,0,0,0,0,0,0,0,0,0,0
8690683,,Hillerød,Hi,1084,Hovedstaden,219,Hillerød,0,1,0,0,0,1,0,0,1,0,1,0,0,8600683,1208600683,1218600683,0,0,1228600683,0,0,0,0,0,0
8690674,,Jægersborg,Jæt,1084,Hovedstaden,157,Gentofte,0,1,0,0,0,1,0,0,1,0,1,0,0,8600674,0,0,0,0,1208600674,0,0,0,0,0,0
8690659,8600659,Klampenborg,Kl,1084,Hovedstaden,157,Gentofte,0,1,1,0,0,0,0,0,1,0,1,0,0,8600659,0,1108600659,0,0,0,0,0,0,0,0,0
8690655,8600655,Hellerup,Hl,1084,Hovedstaden,101,København,0,1,1,0,0,0,0,0,1,0,1,0,0,8600655,1108600655,1118600655,0,0,0,0,0,0,0,0,0
8690653,,Nordhavn,Nht,1084,Hovedstaden,101,København,0,1,0,0,1,0,0,0,1,0,1,0,0,8600653,0,0,8603438,0,0,0,0,0,0,0,0
8690650,8600650,Østerport,Kk,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600650,0,1108600650,8603426,0,0,0,0,0,0,0,0
8690646,8600646,Nørreport,Kn,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600646,0,1108600646,0,0,0,0,0,0,0,0,0
8690626,8600626,København H,Kh,1084,Hovedstaden,101,København,1,1,1,0,1,0,0,0,1,0,1,0,0,8600626,0,1108600626,8603421,0,0,0,0,0,0,0,0
8690624,,Valby,Val,1084,Hovedstaden,101,København,1,1,0,0,0,0,0,0,1,0,1,0,0,8600624,0,1108600624,0,0,0,0,0,0,0,0,0
8690622,,Glostrup,Gl,1084,Hovedstaden,161,Glostrup,0,1,0,0,0,0,0,0,1,0,1,0,0,8600622,0,1108600622,0,8606150,0,0,0,0,0,0,0
8609020,,Vinge,0,1084,Hovedstaden,250,Frederikssund,0,1,0,0,0,0,0,0,1,0,1,0,1,8609020,0,0,0,0,0,0,0,0,0,0,0
8609018,,Jerne,0,1083,Syddanmark,561,Esbjerg,1,0,0,0,0,0,0,0,0,1,0,0,1,8609018,0,0,0,0,0,0,0,0,0,0,0
8609014,,Kalundborg Ø,0,1085,Sjælland,326,Kalundborg,1,0,0,0,0,0,0,0,1,0,0,0,0,8609014,0,0,0,0,0,0,0,0,0,0,0
8609006,,Aalborg Lufthavn,0,1081,Nordjylland,851,Aalborg,1,0,0,0,0,0,0,0,0,1,0,0,1,8609006,0,0,0,0,0,0,0,0,0,0,0
8609004,,Favrholm,0,1084,Hovedstaden,219,Hillerød,0,1,0,0,0,1,0,0,1,0,1,0,1,8609004,0,0,0,0,1208609004,0,0,0,0,0,0
8609003,,Gødstrup,0,1082,Midtjylland,657,Herning,1,0,0,0,0,0,0,0,0,1,0,0,1,8609003,0,0,0,0,0,0,0,0,0,0,0
8609002,,Lolland Syd,0,1085,Sjælland,360,Lolland,1,0,0,0,0,0,0,0,1,0,0,0,1,8609002,0,0,0,0,0,0,0,0,0,0,0
8609001,,Køge Nord,0,1085,Sjælland,259,Køge,1,0,0,0,0,0,0,0,1,0,0,0,1,8609001,0,1108609001,0,0,0,0,0,0,0,0,0
8608029,,Lille-Skensved,Lw,1085,Sjælland,259,Køge,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8605958,8600504,Ejby,Eb,1083,Syddanmark,410,Middelfart,1,0,0,0,0,0,0,0,0,1,0,0,0,8600504,8605958,0,0,0,0,0,0,0,0,0,0
8604831,,Sprogøvej,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604831,0,0,0,0,0,0,0,0,0,0,0
8604829,,Vrist,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604829,0,0,0,0,0,0,0,0,0,0,0
8604828,,Victoria Street Station,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604828,0,0,0,0,0,0,0,0,0,0,0
8604825,,Thyborøn,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604825,0,0,0,0,0,0,0,0,0,0,0
8604824,,Thyborøn Kirke,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604824,0,0,0,0,0,0,0,0,0,0,0
8604823,,Strande,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604823,0,0,0,0,0,0,0,0,0,0,0
8604822,,Sinkbæk,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604822,0,0,0,0,0,0,0,0,0,0,0
8604821,,Rønland,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604821,0,0,0,0,0,0,0,0,0,0,0
8604819,,Ramme,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604819,0,0,0,0,0,0,0,0,0,0,0
8604818,,Nejrup,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604818,0,0,0,0,0,0,0,0,0,0,0
8604817,,Lemvig,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604817,0,0,0,0,0,0,0,0,0,0,0
8604815,,Klinkby,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604815,0,0,0,0,0,0,0,0,0,0,0
8604814,,Armose,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604814,0,0,0,0,0,0,0,0,0,0,0
8604813,,Harboøre,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604813,0,0,0,0,0,0,0,0,0,0,0
8604811,,Fåre,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604811,0,0,0,0,0,0,0,0,0,0,0
8604807,,Bækmarksbro,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604807,0,0,0,0,0,0,0,0,0,0,0
8604805,,Bonnet,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604805,0,0,0,0,0,0,0,0,0,0,0
8604803,,Balleby,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604803,0,0,0,0,0,0,0,0,0,0,0
8604801,,Amstrup,0,1082,Midtjylland,665,Lemvig,0,0,0,0,0,1,0,0,0,1,0,0,0,8604801,0,0,0,0,0,0,0,0,0,0,0
8604739,,Vrøgum,0,1083,Syddanmark,573,Varde,0,0,0,1,0,1,0,0,0,1,0,0,0,8604739,0,0,0,0,0,0,0,0,0,0,0
8604736,,Baunhøj,0,1083,Syddanmark,573,Varde,0,0,0,1,0,1,0,0,0,1,0,0,0,8604736,0,0,0,0,0,0,0,0,0,0,0
